codigo;Tipo;Profissão;Salario fator;Salario mensal;Alimentação mensal;Alimentação diaria;Hospedagem mensal;Hospedagem diaria;Viagens;Custo  mão-de-obra mensal;Custo  mão-de-obra hora;HOMEM- HORA;SERV. TERC.
01.001.000001;MOD;Ajudante;1,00;724;;0;;0;;1299,87;6,77;;
01.001.000002;MOD;Ajudante de armador;1,00;724;;0;;0;;1299,87;6,77;;
01.001.000003;MOD;Ajudante de carpinteiro;1,00;724;;0;;0;;1299,87;6,77;;
01.001.000004;MOD;Ajudante de eletricista;1,00;724;;0;;0;;1299,87;6,77;;
01.001.000005;MOD;Ajudante de encanador;1,00;724;;0;;0;;1299,87;6,77;;
01.001.000006;MOD;Ajudante de graniteiro/marmorista;1,00;724;;0;;0;;1299,87;6,77;;
01.001.000007;MOD;Ajudante de pintor;1,00;724;;0;;0;;1299,87;6,77;;
01.001.000008;MOD;Ajudante de telhadista;1,00;724;;0;;0;;1299,87;6,77;;
01.001.000009;MOD;Ajudante de carpinteiro para fabricação;1,00;724;;0;;0;;1299,87;6,77;;
01.001.000010;MOD;Ajudante de serralheiro;1,00;724;;0;;0;;1299,87;6,77;;
01.001.000011;MOD;Ajudante de aplicador de impermeabilização;1,00;724;;0;;0;;1299,87;6,77;;
01.002.000001;MOD;Aplicador de impermeabilização;1,00;724;;0;;0;;1299,87;6,77;;
01.002.000002;MOD;Aplicador de revestimento;1,00;724;;0;;0;;1299,87;6,77;;
01.003.000001;MOD;Azulejista;1,00;724;;0;;0;;1299,87;6,77;;
01.004.000001;MOD;Cabo de fogo;1,00;724;;0;;0;;1299,87;6,77;;
01.005.000001;MOD;Calafetador;1,00;724;;0;;0;;1299,87;6,77;;
01.006.000001;MOD;Calceteiro;1,00;724;;0;;0;;1299,87;6,77;;
01.007.000001;MOD;Carpinteiro;1,00;724;;0;;0;;1299,87;6,77;;
01.007.000002;MOD;Carpinteiro - FABRICAÇÃO;1,00;724;;0;;0;;1299,87;6,77;;
01.008.000001;MOD;Cavouqueiro;1,00;724;;0;;0;;1299,87;6,77;;
01.009.000001;MOD;Eletricista;1,00;724;;0;;0;;1299,87;6,77;;
01.009.000002;MOD;Eletricista para alta tensão;1,00;724;;0;;0;;1299,87;6,77;;
01.010.000001;MOD;Encanador;1,00;724;;0;;0;;1299,87;6,77;;
01.011.000001;MOD;Armador;1,00;724;;0;;0;;1299,87;6,77;;
01.012.000001;MOD;Gesseiro;1,00;724;;0;;0;;1299,87;6,77;;
01.013.000001;MOD;Graniteiro / Marmorista;1,00;724;;0;;0;;1299,87;6,77;;
01.014.000001;MOD;Jardineiro;1,00;724;;0;;0;;1299,87;6,77;;
01.015.000001;MOD;Jatista;1,00;724;;0;;0;;1299,87;6,77;;
01.016.000001;MOD;Ladrilhista;1,00;724;;0;;0;;1299,87;6,77;;
01.018.000001;MOD;Montador;1,00;724;;0;;0;;1299,87;6,77;;
01.019.000001;MOD;Operador;1,00;724;;0;;0;;1299,87;6,77;;
01.019.000002;MOD;Operador de guincho;1,00;724;;0;;0;;1299,87;6,77;;
01.019.000003;MOD;Operador de terraplenagem;1,00;724;;0;;0;;1299,87;6,77;;
01.019.000004;MOD;Operador de equipamentos;1,00;724;;0;;0;;1299,87;6,77;;
01.020.000001;MOD;Pastilheiro;1,00;724;;0;;0;;1299,87;6,77;;
01.021.000001;MOD;Pedreiro;1,00;724;;0;;0;;1299,87;6,77;;
01.022.000001;MOD;Pintor;1,00;724;;0;;0;;1299,87;6,77;;
01.023.000001;MOD;Poceiro;1,00;724;;0;;0;;1299,87;6,77;;
01.024.000001;MOD;Raspador;1,00;724;;0;;0;;1299,87;6,77;;
01.025.000001;MOD;Serralheiro;1,00;724;;0;;0;;1299,87;6,77;;
01.026.000001;MOD;Servente;1,00;724;;0;;0;;1299,87;6,77;;
01.027.000001;MOD;Soldador;1,00;724;;0;;0;;1299,87;6,77;;
01.028.000001;MOD;Taqueiro;1,00;724;;0;;0;;1299,87;6,77;;
01.029.000001;MOD;Telhadista;1,00;724;;0;;0;;1299,87;6,77;;
01.030.000001;MOD;Motorista de caminhão;1,00;724;;0;;0;;1299,87;6,77;;
